J szám,DÁTUM,CÉGNÉV,CÍM,ÜGYFÉL NEVE,MUNKASZÁM,eszköz,Gyáriszám,HIBAJELENSÉG,ELKÉSZÜLÉS ,NYITOTT - 1 LEZÁRT  - 0,MUNKAÓRA,DOLGOZÓ,VÉGZETT MUNKA,FELHASZNÁLT ANYAG,"
JAVÍTÁS HELYE
1-GYÁRTÁS
2-SZÉV
3-EGYÉB",MEGJEGYZÉS,"Javított egység beépítési
helye",Szervízlap száma,Egyéb információk,
J00039,2021/01/26,NCT (TAKSONY),Taksony,üzem,M20112(M14050),emergency _04.PCB,nincs,"megkapta a 24V ,de nem működik",,1,,,,,,,,,,
J00040,2021/01/26,NCT (TAKSONY),Taksony,üzem,M20069,PDC-3-40-24R,579-11-3787,"jó, nem ez kell",,0,"0,00",,"Nem hibás termék, Késztermék raktárba vissza!",,,bekerült késztermék raktárba,,,,
J00041,2021/01/26,NCT (TAKSONY),Taksony,üzem,M20093,IHDW,20394.0310,"jó, nem ez kell",,0,"0,00",,"Nem hibás termék, Késztermék raktárba vissza!",,,bekerült késztermék raktárba,,,,
J00042,2021/01/26,NCT (TAKSONY),Taksony,üzem,M20077,Ai8 motor,D04-10-9483,"jó,visszamegy a gépre a felújított motor",,0,"0,00",,"Nem hibás termék, Késztermék raktárba vissza!",,,bekerült késztermék raktárba,,,,
J00043,2021/01/26,NCT (TAKSONY),Taksony,üzem,M20077,AB3 motor,B04-10-8739,"jó, visszamegya gépre a felújított motor",,0,"0,00",,"Nem hibás termék, Késztermék raktárba vissza!",,,bekerült késztermék raktárba,,,,
J00044,2021/01/26,NCT (TAKSONY),Taksony,üzem,M20077,Ai8 motor,D04-10-9468,"jó, visszamegy a gépre a felújított motor",,0,"0,00",,"Nem hibás termék, Késztermék raktárba vissza!",,,bekerült késztermék raktárba,,,,
J00045,2021/01/27,NCT (TAKSONY),Taksony,üzem,M20081,IPS2,607-10-1040,"zárlatba megy az 1-es csatorna bekapcsoláskor, ha rajta van az 540V",,1,,,,,,felkerült gyártásra javításra,,,,
J00046,2021/01/28,NCT (TAKSONY),Taksony,üzem,M20086,IPS1,606-10-1034,időnként zárlatba megy,2021/01/28/,0,0.5,Lovász,680K csere,,,felkerült gyártásra javításra,,,,
J00047,2021/01/28,NCT (TAKSONY),Taksony,üzem,M19018,IPS2,607-10-1041,bekapcsoláskor zárlatba megy,2021/01/28/,0,0.5,Lovász,680K csere,,,felkerült gyártásra javításra,,,,
J00048,2021/01/29,NCT (TAKSONY),Taksony,M20098,M20098,AiS100,CC2-10-5048,,,1,,,,,,Vissza Fémó-nak (2021/23),,,,
J00049,2021/01/29,NCT (TAKSONY),Taksony,LABOR,TESZT ESZKÖZ,AiS132,2010-001,"zárlatos, leégett",,1,,,,,,vissza Fémó-nak (BET2021/00373),,,,
J00050,2021/02/01,NCT (TAKSONY),Taksony,üzem,M20027,DAC-80/160-RT,440-14-5580,"Időnként IGBT hiba jelentkezik, a hiba törölhető",,1,,,,,,felkerült gyártásra javításra (02.02)   Bánszki Sanyira vár,,,,
J00051,2021/02/01,NCT (TAKSONY),Taksony,üzem,M20027,DSC-40/80 RE,42D-12-5641,IGBT  hiba engedélyezéskor,,1,,,,,,felkerült gyártásra javításra (02.02)   Bánszki Sanyira vár,,,,
J00052,2021/02/01,NCT (TAKSONY),Taksony,üzem,M20027,DSC-40/80-RE,42D-12-5673,IGBT  hiba engedélyezéskor,,1,,,,,,felkerült gyártásra javításra (02.02)   Bánszki Sanyira vár,,,,
J00053,2021/02/04,NCT (TAKSONY),Taksony,üzem,M20085,IPS1,1033,zárlatos,,0,,Lovász,Ellenállás csere 680K,,,,,,,
J00054,2021/02/05,NCT (TAKSONY),Taksony,üzem,M20077,IPS2,607-10-1029,visszahívva bevizsgálásra,,0,,Lovász,Ellenállás csere 680K,,,felkerült gyártásra (02.05) - átvizsgálás után mehet vissza Taksonyba - még aznap vissza is ment,,,,
J00055,2021/02/05,NCT (TAKSONY),Taksony,üzem,M19105,IPS2,607-10-1030,visszahívva bevizsgálásra,,0,,Lovász,Ellenállás csere 680K,,,felkerült gyártásra (02.05) - átvizsgálás után mehet vissza Taksonyba - még aznap vissza is ment,,,,
J00056,2021/02/05,NCT (TAKSONY),Taksony,üzem,M20082,IPS2,607-10-1042,visszahívva bevizsgálásra,,0,,Lovász,"Átvizsgálás, hiba nincs",,,felkerült gyártásra (02.05) - átvizsgálás után mehet vissza Taksonyba - még aznap vissza is ment,,,,
J00057,2021/02/05,NCT (TAKSONY),Taksony,üzem,M20098,IPS2,607-10-1045,visszahívva bevizsgálásra,,0,,Lovász,"Átvizsgálás, hiba nincs",,,felkerült gyártásra (02.05) - átvizsgálás után mehet vissza Taksonyba - még aznap vissza is ment,,,,
J00058,2021/02/05,NCT (TAKSONY),Taksony,üzem,M15322,IPS2,607-10-1050,visszahívva bevizsgálásra,,0,,Lovász,"Átvizsgálás, hiba nincs",,,felkerült gyártásra (02.05) - átvizsgálás után mehet vissza Taksonyba - még aznap vissza is ment,,,,
J00059,2021/02/05,NCT (TAKSONY),Taksony,üzem,M20069,IPS1,606-10-1018,visszahívva bevizsgálásra,,0,,Lovász,"Átvizsgálás, hiba nincs",,,felkerült gyártásra (02.05) - átvizsgálás után mehet vissza Taksonyba - még aznap vissza is ment,,,,
J00060,2021/02/05,NCT (TAKSONY),Taksony,üzem,M20049,IPS1,606-10-1013,visszahívva bevizsgálásra,,0,,Lovász,"Átvizsgálás, hiba nincs",,,felkerült gyártásra (02.05) - átvizsgálás után mehet vissza Taksonyba - még aznap vissza is ment,,,,
J00061,2021/02/05,NCT (TAKSONY),Taksony,üzem,M19054,IPS1,606-10-0910,visszahívva bevizsgálásra,,0,,Lovász,"Átvizsgálás, hiba nincs",,,felkerült gyártásra (02.05) - átvizsgálás után mehet vissza Taksonyba - még aznap vissza is ment,,,,
J00062,2021/02/05,NCT (TAKSONY),Taksony,üzem,M20104,IPS1,606-10-1052,visszahívva bevizsgálásra,,0,,Lovász,"Átvizsgálás, hiba nincs",,,felkerült gyártásra (02.05) - átvizsgálás után mehet vissza Taksonyba - még aznap vissza is ment,,,,
J00063,2021/02/05,NCT (TAKSONY),Taksony,üzem,M19007,IPS1,606-10-1003,visszahívva bevizsgálásra,,0,,Lovász,"Átvizsgálás, hiba nincs",,,felkerült gyártásra (02.05) - átvizsgálás után mehet vissza Taksonyba - még aznap vissza is ment,,,,
J00064,2021/02/05,NCT (TAKSONY),Taksony,üzem,M20034,IPS1,606-10-0946,visszahívva bevizsgálásra,,0,,Lovász,"Átvizsgálás, hiba nincs",,,felkerült gyártásra (02.05) - átvizsgálás után mehet vissza Taksonyba - még aznap vissza is ment,,,,
J00065,2021/02/05,NCT (TAKSONY),Taksony,üzem,M18234,IPS1,606-10-0962,visszahívva bevizsgálásra,,0,,Lovász,"Átvizsgálás, hiba nincs",,,felkerült gyártásra (02.05) - átvizsgálás után mehet vissza Taksonyba - még aznap vissza is ment,,,,
J00066,2021/02/05,NCT (TAKSONY),Taksony,üzem,M18160,IPS1,606-10-0953,visszahívva bevizsgálásra,,0,,Lovász,"Átvizsgálás, hiba nincs",,,felkerült gyártásra (02.05) - átvizsgálás után mehet vissza Taksonyba - még aznap vissza is ment,,,,
J00067,2021/02/05,NCT (TAKSONY),Taksony,üzem,M20182,IPS1,606-10-1034,visszahívva bevizsgálásra,,0,,Lovász,"Átvizsgálás, hiba nincs",,,felkerült gyártásra (02.05) - átvizsgálás után mehet vissza Taksonyba - még aznap vissza is ment,,,,
J00068,2021/02/05,NCT (TAKSONY),Taksony,üzem,M19113,IPS1,606-10-0933,visszahívva bevizsgálásra,,0,,Lovász,"Átvizsgálás, hiba nincs",,,felkerült gyártásra (02.05) - átvizsgálás után mehet vissza Taksonyba - még aznap vissza is ment,,,,
J00069,2021/02/05,NCT (TAKSONY),Taksony,üzem,M19026,IPS1,606-10-0928,visszahívva bevizsgálásra,,0,,Lovász,"Átvizsgálás, hiba nincs",,,felkerült gyártásra (02.05) - átvizsgálás után mehet vissza Taksonyba - még aznap vissza is ment,,,,
J00070,2021/02/05,NCT (TAKSONY),Taksony,üzem,M19008,IPS1,606-10-1006,visszahívva bevizsgálásra,,0,,Lovász,"Átvizsgálás, hiba nincs",,,felkerült gyártásra (02.05) - átvizsgálás után mehet vissza Taksonyba - még aznap vissza is ment,,,,
J00071,2021/02/05,NCT (TAKSONY),Taksony,üzem,M18187,IPS1,606-10-0975,visszahívva bevizsgálásra,,0,,Lovász,"Átvizsgálás, hiba nincs",,,felkerült gyártásra (02.05) - átvizsgálás után mehet vissza Taksonyba - még aznap vissza is ment,,,,
J00072,2021/02/08,NCT (TAKSONY),Taksony,üzem,M20046,HWM kézikerék,16-1-726,"jó, nem ez kell, hanem IHDW",,0,,,,,,,,,,
J00073,2021/02/09,NCT (TAKSONY),Taksony,üzem,M18198,DAC-20/40-LT,43C-3-4973,hangos vele a főmotor,,1,,,,,,felkerült gyártásra (02.10),,,,
J00074,2021/02/09,NCT (TAKSONY),Taksony,üzem(Lakicstól),M20027,IPS2,607-10-0993,gép bekapcsolásra az első csatorna zárlatvédelme bejelez,,1,,,,,,felkerült gyártásra (02.10),,,,
J00075,2021/02/09,NCT (TAKSONY),Taksony,üzem,M20083,Ai8,D04-10-9510,"jó, csak változik az X motor Ai8-ról-Ai15-re",,0,,,,,,,,,,
J00076,2021/02/10,NCT (TAKSONY),Taksony,üzem,M20046,IPS1,606-10-1007,visszahívva bevizsgálásra,2021/02/15/,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,felkerült gyártásra (02.10) - átvizsgálás után mehet vissza Taksonyba,,,,
J00077,2021/02/10,NCT (TAKSONY),Taksony,üzem,M18324,IPS1,606-10-0790,visszahívva bevizsgálásra,2021/02/15/,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,felkerült gyártásra (02.10) - átvizsgálás után mehet vissza Taksonyba,,,,
J00078,2021/02/10,NCT (TAKSONY),Taksony,üzem,M20093,IPS1,606-10-0947,visszahívva bevizsgálásra,2021/02/15/,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,felkerült gyártásra (02.10) - átvizsgálás után mehet vissza Taksonyba,,,,
J00079,2021/02/10,NCT (TAKSONY),Taksony,üzem,M20094,IPS1,606-10-1016,visszahívva bevizsgálásra,2021/02/15/,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,felkerült gyártásra (02.10) - átvizsgálás után mehet vissza Taksonyba,,,,
J00080,2021/02/10,NCT (TAKSONY),Taksony,üzem,M20048,IPS1,606-10-1002,visszahívva bevizsgálásra,2021/02/15/,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,felkerült gyártásra (02.10) - átvizsgálás után mehet vissza Taksonyba,,,,
J00081,2021/02/10,NCT (TAKSONY),Taksony,üzem,M20086,IPS1,606-10-1009,visszahívva bevizsgálásra,2021/02/15/,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,felkerült gyártásra (02.10) - átvizsgálás után mehet vissza Taksonyba,,,,
J00082,2021/02/10,NCT (TAKSONY),Taksony,üzem,M18263,IPS1,606-10-1000,visszahívva bevizsgálásra,2021/02/15/,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,felkerült gyártásra (02.10) - átvizsgálás után mehet vissza Taksonyba,,,,
J00083,2021/02/10,NCT (TAKSONY),Taksony,üzem,M17264,IPS1,606-10-0909,visszahívva bevizsgálásra,2021/02/15/,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,felkerült gyártásra (02.10) - átvizsgálás után mehet vissza Taksonyba,,,,
J00084,2021/02/10,NCT (TAKSONY),Taksony,üzem,M20127,IPS1,606-10-1023,visszahívva bevizsgálásra,2021/02/15/,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,felkerült gyártásra (02.10) - átvizsgálás után mehet vissza Taksonyba,,,,
J00085,2021/02/10,NCT (TAKSONY),Taksony,üzem,M18230,IPS1,606-10-0873,visszahívva bevizsgálásra,2021/02/15/,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,felkerült gyártásra (02.10) - átvizsgálás után mehet vissza Taksonyba,,,,
J00086,2021/02/10,NCT (TAKSONY),Taksony,üzem,M14270,IPS1,606-10-0437,visszahívva bevizsgálásra,2021/02/15/,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,felkerült gyártásra (02.10) - átvizsgálás után mehet vissza Taksonyba,,,,
J00087,2021/02/10,NCT (TAKSONY),Taksony,üzem,M19006,IPS1,606-10-1015,visszahívva bevizsgálásra,2021/02/15/,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,felkerült gyártásra (02.10) - átvizsgálás után mehet vissza Taksonyba,,,,
J00088,2021/02/10,NCT (TAKSONY),Taksony,üzem,M20076,IPS1,606-10-1051,visszahívva bevizsgálásra,2021/02/15/,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,felkerült gyártásra (02.10) - átvizsgálás után mehet vissza Taksonyba,,,,
J00089,2021/02/10,NCT (TAKSONY),Taksony,üzem,M18192,IPS2,607-10-0935,visszahívva bevizsgálásra,2021/02/15/,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,felkerült gyártásra (02.10) - átvizsgálás után mehet vissza Taksonyba,,,,
J00090,2021/02/10,NCT (TAKSONY),Taksony,üzem,M19044,IPS2,607-10-0961,visszahívva bevizsgálásra,2021/02/15/,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,felkerült gyártásra (02.10) - átvizsgálás után mehet vissza Taksonyba,,,,
J00091,2021/02/10,NCT (TAKSONY),Taksony,üzem,M18248,IPS2,607-10-0963,visszahívva bevizsgálásra,2021/02/15/,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,felkerült gyártásra (02.10) - átvizsgálás után mehet vissza Taksonyba,,,,
J00092,2021/02/10,NCT (TAKSONY),Taksony,üzem,M20084,IPS2,607-10-1043,visszahívva bevizsgálásra,2021/02/15/,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,felkerült gyártásra (02.10) - átvizsgálás után mehet vissza Taksonyba,,,,
J00093,2021/02/10,NCT (TAKSONY),Taksony,üzem,M19073,IPS2,607-10-0979,visszahívva bevizsgálásra,2021/02/15/,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,felkerült gyártásra (02.10) - átvizsgálás után mehet vissza Taksonyba,,,,
J00094,2021/02/10,NCT (TAKSONY),Taksony,üzem,M18246,IPS2,607-10-0988,visszahívva bevizsgálásra,2021/02/15/,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,felkerült gyártásra (02.10) - átvizsgálás után mehet vissza Taksonyba,,,,
J00095,2021/02/10,NCT (TAKSONY),Taksony,üzem,M18088,IPS2,607-10-0837,visszahívva bevizsgálásra,2021/02/15/,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,felkerült gyártásra (02.10) - átvizsgálás után mehet vissza Taksonyba,,,,
J00096,2021/02/10,NCT (TAKSONY),Taksony,üzem,M16300,IPS2,607-10-1027,visszahívva bevizsgálásra,2021/02/15/,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,felkerült gyártásra (02.10) - átvizsgálás után mehet vissza Taksonyba,,,,
J00097,2021/02/10,NCT (TAKSONY),Taksony,üzem,M20009,IPS2,607-10-0923,visszahívva bevizsgálásra,2021/02/15/,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,felkerült gyártásra (02.10) - átvizsgálás után mehet vissza Taksonyba,,,,
J00098,2021/02/10,NCT (TAKSONY),Taksony,üzem,M20081,IPS2,607-10-1026,visszahívva bevizsgálásra,2021/02/15/,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,felkerült gyártásra (02.10) - átvizsgálás után mehet vissza Taksonyba,,,,
J00099,2021/02/10,NCT (TAKSONY),Taksony,üzem,M19023,IPS2,607-10-1028,visszahívva bevizsgálásra,2021/02/15/,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,felkerült gyártásra (02.10) - átvizsgálás után mehet vissza Taksonyba,,,,
J00100,2021/02/10,NCT (TAKSONY),Taksony,üzem,M20006,IPS2,607-10-0999,visszahívva bevizsgálásra,2021/02/15/,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,felkerült gyártásra (02.10) - átvizsgálás után mehet vissza Taksonyba,,,,
J00101,2021/02/10,NCT (TAKSONY),Taksony,üzem,M19016,IPS2,607-10-1031,visszahívva bevizsgálásra,2021/02/15/,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,felkerült gyártásra (02.10) - átvizsgálás után mehet vissza Taksonyba,,,,
J00102,2021/02/10,NCT (TAKSONY),Taksony,üzem,M20097,IPS2,607-10-1044,visszahívva bevizsgálásra,2021/02/15/,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,felkerült gyártásra (02.10) - átvizsgálás után mehet vissza Taksonyba,,,,
J00103,2021/02/10,NCT (TAKSONY),Taksony,üzem,M20097,AiB15,F06-10-9096,"jó, nem ez kell, hanem AiB28",,0,,,,,,,,,,
J00104,2021/02/10,NCT (TAKSONY),Taksony,üzem (Lakics),M20027,DSC-40/80RE,42D-12-5888,"jó, tartalék volt",,0,,,,,,,,,,
J00105,2021/02/10,NCT (TAKSONY),Taksony,üzem,M18198,IPS1,606-10-0853,visszahívva bevizsgálásra,,0,"0,50",Lovász,Átalakítás 68nf beépítés,,,,,,,
J00106,2021/02/12,NCT (TAKSONY),Taksony,üzem,M20141,Ai8,D04-10-9468,tévesen jött ki,,0,,,,,,,,,,
J00107,2021/02/12,NCT (TAKSONY),Taksony,üzem,M20141,Ai8,D04-10-9534,tévesen jött ki,,0,,,,,,,,,,
J00108,2021/02/15,NCT (TAKSONY),Taksony,üzem,M20093,DSC10/20LE,42B-11-5444,szalagkábel kimenete rossz,,0,,,Csatlakozó csere,,,Vissza SZÉV,,,,
J00109,2021/02/16,NCT (TAKSONY),Taksony,üzem,M20085,DSC10/20LE,42B-11-5824,"gyűjti a frame/phys hibákat ,vagy a szalagkábel vagy a hajtás rossz",,1,,,,,,,,,,
J00110,2021/02/17,NCT (TAKSONY),Taksony,üzem,M20086,MK19 / gépi kezelőpanel,219-30-0294,az egyik gombnak rossz a membránja.Gomb jelölve.,,1,,,,,,,,,,
J00111,2021/02/22,NCT (TAKSONY),Taksony,üzem,M19006,DSC-10/20LE,42B-11-5415,hosszabb kikapcsolás után a gép bekapcsolásakor INIT állapotban marad a hajtás,2021/05/03/,0,"1,00",Dévai,? Nem jel.,,,,,,,
J00112,2021/02/22,NCT (TAKSONY),Taksony,üzem,M20072,MU-EXE kártya,0020-41-1943,bevizsgálni,2021/02/22/,0,"1,00",Lakatos,"Tesztelés, hiba nem jelentkezett",,,,,,,
